title,overview,vote_average
Bachelor Party,"On the eve of his wedding to his longtime girlfriend, unassuming nice guy Rick is dragged out for a night of debauchery by his friends.",6.3
Sunny and the Elephant,"The story of a young city boy wanting to become the mahout, the elephant driver. Despite his master's belief that only karen tribe people are born to be mahouts, the lad finally wins his heart and becomes a real mahout.",6.2
Under Paris,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",5.9
Son of a Sailor,A lovesick fool bumbles into espionage and finds a stolen plane.,5.0
"The Last Runway 2, Commando Yaguareté",Betty Jara reassembles the Yaguareté Commandos to exchange an imprisoned criminal for one of her own agents. A risky operation becomes even more so when she realizes they are not just fighting a drug ring but the highest spheres of power.,7.0
"To the Devil, with Love","On an island buffeted by storms, the seamen are confined with no desire to abandon the life by the sea. They spend days and nights drunk in the tavern. The young woman who serves them has one desire: to go far away. This sets the stage for a musical in the open, and will frame a story of love and adventure, reminiscent of the director's film Aoom.",4.0
Raw Nerves: A Lacanian Thriller,A noir mostly set in a bathroom stall and stairwell. A private dick trapped in a tight spot. A narrator searching for a way out of the story.,0.0
Jimmy Orpheus,"Jimmy Orpheus is about a young day labourer at the docks. After a crawl through the late-night bars in the St. Pauli red-light district, he meets a prostitute, for whom he risks life and limb while walking around night-time Hamburg … A love story that is as poetic as it is realistic, with Roland Klick trying out various extravagant editing and camera techniques, such as jump cuts and time-lapse shots, as well as his idea of action movies.",5.5
29 Acacia Avenue,"The Robinsons are two respectable middle class parents living with their children in a suburban house in Acacia Avenue. Preferring to holiday every year in Bognor, they are pressed into booking a cruise for their annual vacation and thereby leaving their teenage children free run of their house. As the youngsters enjoy their newfound freedom and discover the angst of teenage life, Mr. and Mrs. Robinson begin to have second thoughts about their cruise and decide to return home early.",5.7
Miss Switch to the Rescue,"One dark and stormy night, Rupert is called on by a mysterious stranger who gives him a ship in a bottle...with a tiny living man onboard! He frees the man, who turns out to be the evil warlock, Mordo, who kidnaps Amelia and takes her back in time to 1640. Rupert calls on Miss Switch for help in this new adventure.",6.7
Hawk of the Harbour,A Nikkatsu Action film with Yujiro Ishihara as the head of a small shipping company who gets harassed by the yakuza.,0.0
Beachcomber,"Elias dreams of building a boat from scrap metal, chasing the shadow of his sailor father’s legacy. But as his creation crumbles, so does the myth he’s built around himself—forcing him to confront the fragile truth of who he really is.",0.0
Unlocked,A woman's life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.,7.3
Aviyal,"Aviyal is a collection of four short films : A young man attracted to his aunt, a filmmaker chasing robbers who have stolen his short film, two friends going on a trip to deposit the ashes of their friend and a gangster narrating a story.",5.8
You Should Have Left,"In an effort to repair their relationship, a couple books a vacation in the countryside for themselves and their daughter. What starts as a perfect retreat begins to fall apart as one loses their grip on reality, and a sinister force tries to tear them apart.",6.076
National Lampoon's Loaded Weapon 1,An LA detective is murdered because she has microfilm with the recipe to make cocaine cookies. Two cops partner to find and stop the fiends before they can dope the nation by distributing their wares via the 'Wilderness Girls' cookie drive.,6.1
Divine,This is Kamikai,8.3
The Beast Is Still Alive,A young Bulgarian girl digs into her grandfather's turbulent life in an attempt to unravel the past and find answers and explanations for the catastrophic fall of communism.,6.0
Microcassette – The Smallest Cassette I've Ever Seen,"Among the garbage heaps of a big landfill on a Croatian island, Zoki uncovers a microcassette. A close study of the discarded object serves as a tribute to chance and imagination.",7.5
Daroga Mamur Kirti,"Bengali movie starring Ranjit Mallick, Laboni Sarkar, Kharaj Mukherjee and Sumit Ganguly in prominent roles.",0.0
Maaya Sakamoto Live 2011 in the silence,"Concert film containing Sakamoto Maaya's Live 2011 ""in the silence"" concert that took place in December 2011. The special thing about this concert was that she performed all songs included in her three concept albums ""Easy Listening"", ""30 minutes night flight"" and ""Driving in the silence"" in the exact sequence as they are included on the CDs.",0.0
The Ring Two,"After the ordeal with Samara, Rachel and Aiden move to a rural town. But soon Rachel learns about the death of a girl in a similar fashion. To save Aiden, she must dig into Samara's past even further.",5.8
Too Much,"Oscar dreams of becoming an actor or a stuntman. To contact a manufacturer he stages an accident and consequently injures a young actress, then tries to limit the damage by taking the girl to his home.",6.4
Legend of the Dragon,"A Tai Chi master must teach his son how to kick some serious butt, after the son is bullied by a karate master.",0.0
Kid Icarus,"18-year-old Leigh  lives in a trailer park on the outskirts of Los Angeles, attends community college, has no real friends and works part time at Home Depot. With an obsession for Steven Spielberg and enrolled in a film production class, he sets out to make his cinematic debut. He hopes the film will be his ticket out of his mundane life and into a world of popularity, women and success. And he just may be on his way, if he doesn't self-destruct first.",6.5
First Daughter,"Samantha MacKenzie, the daughter of the president of the United States, arrives at college with a group of Secret Service agents. Samantha, however, resents their presence and decides she wants to attend school just like a normal student.",6.2
Sons of the Neon Night,"A massive explosion and shootout in snowy Causeway Bay, Hong Kong, reveals a pharmaceutical heir's plot. His father's death in hospital triggers a drug war, destabilizing both legitimate and criminal worlds.",5.3
The Black Arrow,"One plotting politician, Sir Daniel Brackley, is using the royal unrest to his advantage and unwittingly giving rise to the arrival of a medieval hero, Black Arrow, whose steel cross bow and stout heart are pitted against the kingdom's villains. Black Arrow is saving one final arrow for the assassin who murdered his good friend, Harry Shelton, and left young Richard Shelton fatherless. Join the exciting adventures of Richard Shelton and the mysterious Black Arrow, brought together through turmoil and tragedy to begin the adventure of a lifetime.",7.1
A Dopey Hacienda,Toro and Pancho encounter a hungry cat who has a special taste for frogs.,0.0
Broken Sky,"Gerardo is deeply in love with longtime lover Jonas. When Jonas falls for a stranger he met at a local nightclub, heartbroken Gerardo soon seeks solace in the arms of Sergio. Despite other interests, Gerardo and Jonas can't bring themselves to end it.",4.9
La última,"Natalio Ledesma is no longer what he was. Nor is his ""Egg Emporium."" His thousands of chickens mysteriously disappeared one night several summers ago. All except one, Pechuga. It's your only reason to live. It is his last long-term project.",0.0
Mrs Hartley and the Growth Centre,"When a shy young man arrives on her doorstep, Alice Hartley grabs the chance to escape from her loveless marriage. She and Michael open a Growth Centre with a difference - offering sex, drugs and personalised water births.",0.0
Red Hicks Defies the World,"Hard as nails and as strong winded as a gale in March, Red Hicks may have been a bit ""chesty,"" but he was in perfect trim. The town depended on the champion, O'Shea, the fighting Irishman, to make soft putty of the world famous pugilist, but on the day of the fight there was no O'Shea. The supposition was he did not have the price: and other domestic difficulties interfered. O'Shea's trainer, however, solved the problem and Bed Hicks found his Waterloo.",0.0
Killing Moon,A mysterious disease threatens airline passengers.,4.0
Fighting the Sky,"Strange other-worldly sounds are echoing around the world. A group of researchers, led by expert ufologist Lorraine Gardner, begin an expedition to track down the point of origin from which the sounds emerge. Yet as their journey deepens, they begin to discover more than they bargained for.",5.9
Wilbur and the Baby Factory,"As an alternative to being drafted, a young man is given the job of fathering 2000 children for a future perfect race.",3.0
Rock Milestones: Led Zeppelin's IV,"Rock Milestones: Led Zeppelin's IV zeroes in on Zeppelin's fourth LP, an untitled effort that shot to the top of the charts upon release circa November 8, 1971, and single-handedly shaped the landscape of hard rock over the ensuing decade. Rock Milestones: Led Zeppelin's IV goes behind the scenes to investigate why -- and how -- this album became a decades-long phenomenon and the inestimable impact it made on American music and pop culture in particular.",7.0
Pastor Shirley,"Jason's heart and soul are stuck with the church his father ran before he passed away, and his dreams of making this community a place of worship, love, and sanctuary. Now a real estate mogul threatens to turn Jason's church into a strip mall! So who does he call? Pastor Shirley.",7.0
Doraemon: Nobita and the Birth of Japan,"Doraemon and his friends travel to ancient Japan where they meet Kukuru. When Kukuru tells them that his tribe has been enslaved by Gigazombie, Doraemon decides to help him.",6.8
北上川悲歌,"Japanese ""kayo"" film based on the song by Tsuzuko Sugawara.",0.0
Stranded,A young woman and her grandmother living in an isolated farmhouse are kidnapped by aliens.,5.2
The Red Teacher,"In 1985, Tae Nam works as a teacher at an all-girls high school in the country. The students there do not like him, because he keeps shouting at them. In fact, Tae Nam has never had a date in his life. One day, he finds a banned erotic book at the book store. The novel, which spreads among the girls at the high school, ends with ""to be continued."" The students become curious about the second volume. Soon Duk decides to write the second volume for her friends.",5.0
Date Night,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",6.114
Female Prisoner Scorpion: Beast Stable,"Following her successful prison break, Scorpion begins this third episode in the series hiding out in a brothel. Her prostitute friend tries to keep her identity secret, but the brothel's madam discovers that Scorpion is the ex-girlfriend of the vice officer who killed her lover.",6.7
Dear Santa,"An elixir to our current state, ""Dear Santa"" takes us on the fanciful and poignant journey of a little known program called Operation Santa. For more than 100 years, human elves have been helping Santa respond to the thousands of letters children write and mail to him. This gripping documentary crisscrosses the country, following the most emotional letters as the elves work hard to make sure each child’s Christmas dreams come true.",5.2
Need for Speed,Three girls drive around Hollywood without paying much attention to the road.,8.2
Porté disparu,"Twenty years after his disappearance and while everyone believes him dead, Jacques returns home incognito under the name Laurent Dupas. He finds his wife Hélène, who has remarried Eric, a bank manager. They all look happy. But behind this idyllic family picture lies a mystery.",0.0
Wimbledon,"Britain’s Peter Colt has never quite lived up to his dreams of tennis stardom. Once ranked as high as number 11 in the world, the journeyman veteran has watched his number slip to 119 as his confidence on the court slowly ebbs away.  Now, on the eve of his leaving the world of professional tennis, he’s granted a wild card, allowing him to play his final Wimbledon tournament…make that his final tournament ever.",6.22
Piano Grand! A Smithsonian Celebration,"A musical tribute to the piano's 300th anniversary celebrates the legacy, grandeur and showmanship of this instrument. Hosted by ""Piano Man"" Billy Joel and taped before a live audience in Washington, D.C., this special mesmerizes audiences with its grand salute.",0.0
Kabhi Khushi Kabhie Gham,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",7.7
The Double Born,"A woman is tortured by the sudden disappearance of her only child years before. Obsessed with having another baby, she is devastated and driven to emotional crisis when discovering her new husband is infertile. Gripped by despair, the woman begins to resign herself to the bitter likelihood of never having another child. Striking up a friendship with two discarded young laborers hired to re-paint her son's now silent room, the three lost souls form a disturbing bond as the boys are led deeper into the woman's tormented world. Her family's suspicions of this unsettling new friendship sets off an irreversible series of events, leading to madness and murder as the horrors of the past collide with the sins of the present, ending in tragedy and terror.",3.1
Ward No. 6,"Simultaneously nihilistic and heartening, Ward No. 6 is based on a story by Chekov, in which a psychiatric doctor becomes a patient in his own asylum. Updated to contemporary Russia, the film is a cocktail of anxieties and riddles, showcasing how easy it is to become what we fear most.",4.7
True heroes,"An animated retelling of Mexico's Independence war, as seen through the eyes of three different people.",5.0
Quiet Times,The quiet life of an old man.,0.0
D.I.Y. or Die: How to Survive as an Independent Artist,"This documentary features interviews with Ian MacKaye (Fugazi), J Mascis (Dinosaur jr.), John John Jesse (Demonic Erotic painter), Jim Rose (Jim Rose Sideshow), Jim Thirwell (Foetus), Lydia Lunch, Mike Watt (Minutemen), Richard Kern (Filmmaker), Ron Ashet",4.7
The Shining Pyramid,"When stones begin miraculously arranging themselves on the edge of one young man's private land, he and his friend begin trying to decipher them in any way possible. When they realize that it might be a dark portent, they become desperate to achieve their goal before it is too late.",0.0
Every Man's Dream For Real,A short documentary focused on internet sensation Will Survives.,0.0
A Clouded Name,"To avoid seeing Marjorie Dare, Jim Allen visits Stewart Leighton at the latter's country home. (Five years earlier Jim's engagement to Marjorie Dare was broken when her mother was killed and his father disappeared.) Through certain circumstance Marjorie also becomes Leighton's guest, and Jim moves out into the woods. There he meets Smiles, a little girl in the care of strange old Ben Tangleface. Leighton wishes to wed Marjorie for her money and is trying forcefully to persuade her to accept him when Jim comes to the rescue. But Ben, his memory stirred by the sight of Leighton, kills him. Explanations reveal Smiles to be Dorothy's sister and Ben, Jim's father. He was wounded while defending Marjorie's mother, whom Leighton killed.",6.0
The Mill on the Floss,Romeo and Juliet in 1930s England. The owner of the mill and the local lord are in conflict over water rights. The lord wins threatening the mill owner with financial ruin.,4.0
Mayday Relay,"When the german sailor Max and his daughter Emily receive a mayday-call on the Mediterranean sea, they act immediately: They change the course of the little sailing-boat and try to involve other ships. But then they understand, that there are over hundred people on board – and the damaged boat is only forty foot long…",5.5
Gambler,"A humorous documentary about Nicolas Winding Refn and his struggle to secure his family financially and help him get on with his life. Forced to file for personal bankruptcy after the failure of ""Fear X"" at the box office, Refn has only one chance to wipe the slate clean and continue his career as a filmmaker: produce sequels to his breakthrough movie ""Pusher.""",6.8
Emile,"In a story weaving the past and present together, Emile seeks redemption from the family he abandoned.",5.8
The Golden Lotus,"Golden Lotus is based, in part, on Jin Ping Mei, a famous erotic novel of ancient China. Li Han-Hsiang adapted part of the story into this film, which starts with Hsi Men Ching, a successful merchant, wooing Pan Chin Lien, the beautiful wife of one of the townspeople.",7.0
I Wish I Knew,"Focuses on the people, their stories and architecture spanning from the mid-1800s, when Shanghai was opened as a trading port, to the present day.",6.7
Screen Test #3,"One of Andy Warhol's screen tests, focusing on an actor's face for 4-5 mins.",8.0
Hunk,"A ""devilish"" tale about an ordinary guy who is visited by a beautiful apparition promising him popularity and drop-dead good looks in exchange for his soul. Transformed overnight into a ""hunk,"" he soon discovers there may be hell to pay for his new lifestyle!",5.6
Road to Nashville,A Hollywood film company wants to make a movie about country music and sends Doodles Weaver to round up talent to appear. A host of then-current country stars perform their hits.,6.0
Son of a Gun,"Locked up for a minor crime, 19 year old JR quickly learns the harsh realities of prison life. Protection, if you can get it, is paramount. JR soon finds himself under the watchful eye of Australia's most notorious criminal, Brendan Lynch, but protection comes at a price.",6.4
Aśoka,"A young Prince Asoka works to perfect his skills in battle and also deals with family conflict. During a struggle with one of his step-brothers, his mother urges Asoka to escape to stay alive. While away, Asoka meets Kaurwaki and falls in love, but must use his skills as a warrior to protect her. A dangerous and heartbreaking web of conspiracy follows, which leads Asoka to embrace a Buddhist path.",6.5
The Mysterious Airman,"An inventor adds new innovations to an air company's planes, prompting the owners of a rival company to set out to steal them. The stakes are sky-high as an airman and an aviatrix find themselves in constant peril, both on earth and above the clouds.",6.2
Winners,"In a small provincial Iranian town, the children work hard to support their families. One day nine-year-old Yahya and his friend Leyla find a precious statue. Sharing a passion for cinema, Yahya's boss Naser Khan decides to help them find the owner.",7.8
Pineapple Express,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,6.644
Dancing on Thin Ice with Torvill & Dean,"Jayne Torvill and Christopher Dean travel to Alaska on an extraordinary quest to fulfil a life-long dream.  Ever since they were kids, they’ve wanted to skate free in nature, rather than round in circles on artificial ice. Now they’ve come to Alaska to make that dream come true.",0.0
The Wild,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",5.5
Sing Salmon Sing,"High school student Kasumi Ogino is a member of the school choir and after years of praise for her singing voice thinks she is the absolute bee’s knees. When the object of her desires, classmate and photographer Junichi Makimura, asks Kasumi is he can photograph her singing she accepts, thinking this means she is beautiful as well. However the end result is a comical shot of Kasumi with her mouth wide open, which Makimura likes to a hungry salmon! Distraught by the ensuing humiliation, Kasumi quits the choir, until she is encouraged to return by an unlikely counsel - the brutish leader of thuggish rival all male choir, Hiroshi Gondo.",5.6
(Secret) Erotic Hot Springs Ascension Peeping Bath,"Tokuzo, who runs the inn, invites a companion from Tokyo to revitalize the village, causing a commotion in the village. Meanwhile, Tokuzo's daughter Chiyo moves to Tokyo with her boyfriend, and Chiyo's sister Tamako follows her.",0.0
Cold Mountain,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",6.9
Tenement,"As Junjun and Dodong try to make a living in Manila, they meet Rosa, their tenement landlady who gets in danger and has the brothers involved in a thrilling fight against hitmen.",1.0
Wolf,"An aging publisher becomes a demon wolf and, with this newfound youthful vigor, fights to keep his job.",6.1
Vatthikuchi,A share auto-driver gets entangled in a plot where 3 criminals want him dead.,6.5
The Last Romantic,A bowling alley employee of the month struggles with the romance in his life.,9.0
Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",6.3
The End of the World: The Actor's Perspective,A short piece that looks at the 2012 film's ensemble cast and the strengths they brought to the project.,7.8
Aboard Air Force One,"Air Force One is a marvel of military engineering. For more than half a century, the presidential fleet of armed jumbo jets has served as a flying fortress for America's commanders-in-chief, carrying them in victory, in shame, and even death. Join us as we take an unprecedented look at the world's most famous aircraft: how it was born, how it has developed over the decades, and the role it has played in historic events, from the death of Kennedy to the 9/11 attacks to a morale-building, surprise Thanksgiving visit to Iraq, and more.",0.0
The Swing Girls,"During the Fascist Regime in Italy, three Dutch sisters, Alexandra, Judith and Kitty, try to make a career as popular singers.",5.8
Bill Nye: Science Guy,"Bill Nye is retiring his kid show act in a bid to become more like his late professor, astronomer Carl Sagan. Sagan dreamed of launching a spacecraft that could revolutionize interplanetary exploration. Bill sets out to accomplish Sagan's mission, but he is pulled away when he is challenged by evolution and climate change contrarians to defend the scientific consensus. Can Bill show the world why science matters in a culture increasingly indifferent to evidence?",6.4
L'AMOUR TUE,A girl and a boy prepare for a new life.,4.5
Get the Gringo,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a 9-year-old boy.,6.6
An Occurrence at Owl Creek Bridge,"During the American Civil War, a Southerner is about to be hanged from a bridge for sabotage when something unexpected happens.",7.6
Once Upon a Time in Madras,"In Chennai, along the Koovam River, 9-year-old Dinesh's life ends tragically when he's shot by retired army officer Krishnaraja in a fit of rage. Confusion ensues as the police investigation fails to identify the shooter. Krishnaraja disposes of the gun in the river, but its discoveries by a few people sets off a chain of events with unforeseen consequences.",8.0
Kung Fu Chefs,"Ousted chef Wong Bing-Yi is determined to help Shen Qing at her restaurant ""Four Seas"". He trains a young chef, Lung Kin-Yat to compete against Chef Tin, the head chef at ""Imperial Palace"", for the title of ""Top Chef"".",5.3
Aoba shigereru,Based on the novel of the same name by Hisashi Inoue.,0.0
The Big Knife,"Movie star Charlie Castle draws the ire of Hollywood producer Stanley Hoff when he refuses to sign a new seven-year contract. Castle is sick of the low quality of the studio's films and wants to start a new life. While his estranged wife supports him in the decision, Castle's talent agent urges him to reconsider. When Castle continues to be uncooperative, Hoff resorts to blackmail in order to get his way.",6.0
One Piece: The Movie,"There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.",7.1
Siyaah,Zara loses her child due to miscarriage. Bilal and Zara decide to adopt a child but they don't know what is going to happen to them.,7.8
Bikini Warriors,When call girl Cindy gets busted under the new 36 Strikes Law she receives the maximum sentence. Desperate to beat the rap Cindy agrees to become a Special Agent for the Feds and infiltrates an illegal Female Fight Club.,3.571
The Ghost Beyond,"A struggling novelist moves his wife and young son to an old country home, but when a presence begins to communicate with his son, the family must escape an evil that threatens to doom them to the house for eternity.",4.538
Raksha Bandhan,"Lala Kedarnath is blessed with 4 sisters. But his only worry is to find suitable grooms for each of them, as only then can he marry his childhood love. To what lengths will he go to succeed?",6.045
Snatched,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.",5.3
Kill Finn,"Frank has finally met the love of his life. He tells his best friend, his pet fish Finn, about it every night. But when Frank begins to notice a fast connection forming between his new love and Finn, he becomes suspicious of their relationship, and fears the motives of his best friend may be ulterior.",10.0
The Divinity of a City,"David Bono is a hitman hired to target Orshanabi Nazzar, a high-ranking priest-bureaucrat in a temple corporation in the fictional city of Babylonia (Brussels-based). The corporation has invented a way to avoid death by recording people's lives. While gathering information and preparing for the job, David meets Ellie, with whom they slept together. However, Ellie is a member of a cult called Children of Ishtar, and David's job would interrupt their life-recording ceremony. Facing an obsessive dilemma, David tries to find a way to do his mission without killing Ellie. First, he tries to convince Ellie not to attend the ceremony, and then he hires a local crook to kidnap her while he does the job. After the successful job, Ellie frees herself from the kidnapper, discovers the truth, and leaves for Akkadia. Meanwhile, David calls to receive the rest of his payment but gets ambushed by the contractor.",0.0
Happy Birthday to Me,"Virginia is proud that she belongs to a clique. The best students at a private school. But before her 18th birthday, a gruesome set of murders take place and her friends are the ones who are falling prey. Could it be her? She suffers from blackouts due to a freak accident one year earlier. We soon learn the truth behind her accident and what is going on.",6.0
The Temptation of Kimono,"Mikage will get married to Youiti next year, she agrees to live with Youiti's parents. One day, Youiti's father disrobed Mikage's Kimono and raped her. To her astonishment, her fiancé Youiti whom Mikage considers true love has an affair with his young stepmother. Shocked and devastated, what will Mikage do?",5.5
No Thank You,"Heli Valkonen is desperately in love with her husband. But Matti is just not in the mood. He is only interested in playing computer games, dressed in worn out fleece pants. For him, a shoulder massage is the highest form of intimacy. When subtle hints, nice words and fetching clothes won't help, Heli resorts in direct, and increasingly direct action - in vain.",4.9
The Early Bird,"Norman Pitkin is the assistant helping to run a small, old fashioned dairy which is threatened by a larger, modern organisation. Pitkin does his best to save the dairy (and his horse) and the usual chaos ensues",7.6
Andromeda: 1883,A space marine travels back in time to save the future of the human race.,0.0
Doraemon: The Record of Nobita's Parallel Journey to the West,"As Nobita, Shizuka, Gian, and Suneo are auditioning for a role in their school's play based on ""Journey to the West"", the coveted role of Son Goku is hotly contested. After suggesting that the real Great Sage Equal to Heaven should play himself, knowing that the story is only a legend, Nobita and Doraemon go back in time to find their own fake Monkey King, but arrive in present day with the story's demons having taken over the world. The only way for things to go back to normal is for Nobita and pals to reenact the tale...for real!",7.143
Sagaram Sakshi,"Sagaram Sakshi is a 1994 Malayalam film directed by Sibi Malayil. It starred Mammootty in the lead role and Sukanya, Thilakan in other supporting roles.A. K. Lohithadas carried the screenplay for this movie .",8.5
"Christmas, Inc.","With Christmas approaching, Santa Claus has to contend with the fact that the North Pole is melting and find a way to rid the holiday of its capitalist nature.",7.1
The Sowing Traveller 3,"Acclaimed director of Summer of Chirusoku, Half a Confession and Yunagi City, Sakura Country Kiyoshi Sasabe casts Rin Takanashi and Takumi Saitoh as members of the farming industry. The Sowing Traveller 3 tells a universal story of the cherished act of growing fruit. Ayane is conflicted about coming back home because she feels it’s a setback. Filming took place in Akaiwa, Okayama prefecture, a peach growing area with lots of sun and fertile soil. Along with the harmony of daily life that the local people have with nature, an important feature of the film is its beautiful landscapes.",0.0
The Making of 'A Night to Remember',A sixty-minute documentary featuring William MacQuitty’s rare behind-the-scenes footage,3.0
Foxtrap,"Private detective is hired by rich man to find his niece, who has disappeared while traveling in Europe.",2.833
Spy Game,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal.",6.9
Dark Reality,"Carey was all set for the adventure of a lifetime, but soon after setting out across the wilderness of the European landscape, she awakes in a dark and cold basement; the captive of a tormentor whose blood lust knows no bounds. She isn't alone however, and to survive she must convince the other captives to fight for their lives.",2.3
Titanic,"This documentary explores the incredible history of the Titanic. From the crew to its final hours, Titanic chronicles this incredible story like never before. Get ready for Titanic.",7.9
Twice a Judas,"Luke Barrett, having lost his memory due to an accident, does not realize that Dingus had killed his wife and brother to take possession of the Barretts' land and money. At first Luke trusts him, but while looking for his forgotten identity he discovers the truth.",5.7
Bad Luck,"Hikmet and Salim are close friends whose lives aren’t going quite as planned. Salim, who has been working as an intern at a company for a long time, finally receives the long-awaited promotion news and becomes a manager. However, on the very day he thinks he has achieved his dreams, the company goes bankrupt, and he ends up with a huge debt. Meanwhile, Hikmet, who has fallen in love with Yağmur, has been waiting for the right moment to declare his love. Just when he seizes the opportunity to save Yağmur’s life, he gets beaten up by a group of vagrants. Frustrated by their misfortunes, the two friends decide to end their lives. But carrying out these decisions won’t be easy.",0.0
The Adventures of Marco Polo,"Venetian merchant Marco Polo travels to the East and the court of Kublai Khan who makes him an emissary and sends him on diplomatic missions throughout his empire. Over many years, Polo learns new cultures and languages, but he is haunted by the face of a mysterious woman whom  he had met before leaving Venice and encounters her face in every woman he sees. Eventually returning to Venice to share his exotic and esoteric knowledge, Marco Polo once again finds the woman of his dreams.  The Adventures of Marco Polo was an original, live television musical which was broadcast on NBC on April 14, 1956.",0.0
The False Servant,A young woman disguises herself as a knight to expose a gold-digging man divided between her and a Countess.,5.7
Lion Hunting,"Two hunters set out on safari with their African guide. They observe zebras, an ostrich, and a hippopotamus, capture a monkey, and camp for the night. After a lion kills their goat and horse, they shoot it by the water’s edge and later kill a second. The animals are skinned, and the hunters relax with cigarettes beside their trophies.  (Note: Produced by Nordisk Film in 1907, Løvejagten gained notoriety because founder Ole Olsen purchased lions from Copenhagen Zoo, released them on an island, and filmed their killing. Supplemented with zoo footage to simulate Africa, the film caused public outrage yet drew huge audiences, establishing Nordisk’s reputation worldwide.)",4.3
The Wrong Cheer Captain,"Kate begins to suspect that Anna, the newly appointed captain of her cheer squad, is responsible for the death of Emma, but while Kate tries to find the truth, Anna is out to destroy her life.",7.4
Nature Unleashed:  Avalanche,"It begins on a glacier nestled on a frozen peak high in the wild Ural Mountains of Russia, kissed by clouds, the top of the world. A lonely, forbidding place, it's home to THOM CUSSLER and brother, JOCK, a pair of transplanted westerners seeking their fortune in Russia's new capitalist economy. They run a hard-luck snowmobile tour business that takes adventurous winter tourists up the mountains to experience the ultimate extreme winter thrill. During one such excursion, a massive ledge of snow at the top of the ridge suddenly collapses and an avalanche crashes down! Only the quick thinking and expert driving of Thom and Jock saves them. The tiny village of Dubroz, nestled far below, is not so lucky. Avalanche sirens wail, but the panicked villagers barely have time to act as the avalanche crashes down! A wall of snow smashes into one end of the village, blasting-in windows, collapsing and burying buildings... Written by GFT Entertainment",3.4
Bonanno: A Godfather's Story,"The true life story of mafia boss Joesph Bonanno. The story spans from Bonanno's early beginings in Italy, to his conquests in America.",4.3
The Jester,"A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity.",6.2
First Kiss,A 25 year old woman and a high school boy accidentally share a kiss on a bus. He then becomes infatuated by her even though she ignores his advances. Things hot up when her first love re-enters her life. This encourages the high school boy to try even harder to win her heart.,6.1
The Huggetts Abroad,Life is not going well for the Huggetts. Father has lost his job. Jimmy and his wife cannot get to South Africa where he has a new job. So the family decide that they should go to South Africa by truck. With their travelling companion they travel across the desert which includes a brush with the law.,6.6
"Ay, Jalisco, Don't Give Up!","An orphan boy is left in the care of his godfather, a bartender who teaches him to play cards and shoot weapons.",6.5
Yeh Hai Mumbai Meri Jaan,"Raju moves to Mumbai with the hope of becoming a successful businessman, but after arriving in the big city, he finds himself robbed, jailed and unemployed.",8.0
I'm Not Here,"A man struggles with the tragic memories of his past to make sense of his present, but soon realizes that time isn't the enemy he thinks it is.",5.8
My Life with Caroline,A man thinks his high-spirited wife is cheating on him.,5.7
YoRHa Girls Ver1.1a,"A gender-swapped re-envisioning of the YoRHa Boys Ver1.0 play from 2018, it tells the story of a group of female androids that undertake an experimental mission in Tokyo, Japan.",7.0
